Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2015-01-02,39.68174362182617,40.24183655757359,39.495048134744195,39.59688233108443,27913900
2015-01-05,39.316829681396484,39.65627801426781,39.248938072472164,39.35077224860855,39673900
2015-01-06,38.73977279663086,39.673259971651746,38.646423431678606,39.35926930183575,36447900
2015-01-07,39.23197555541992,39.427159126869654,38.60399419288615,39.01981907724617,29114100
2015-01-08,40.38610076904297,40.52188076357751,39.64779725108958,39.67325498842405,29645200
2015-01-09,40.04664993286133,40.58128508790158,39.800550913652756,40.40307444863832,23944200
2015-01-12,39.545963287353516,40.343673657634284,39.34229489635681,40.24183622488522,23651900
2015-01-13,39.342288970947266,40.657658191964224,39.08770190191982,39.85995117907819,35270600
2015-01-14,39.00284194946289,39.24045938063213,38.71430904088285,39.00284194946289,29719600
2015-01-15,38.595497131347656,39.35926156977975,38.536093590275186,39.22348158486406,32750800
2015-01-16,39.240447998046875,39.274390560724726,38.33241565485909,38.45122595460538,35695300
2015-01-20,39.36774826049805,39.58839276968071,38.67187540030723,39.291371813050255,36161900
2015-01-21,38.9688835144043,39.15558217042482,38.595489439612805,38.98585641379249,39081100
2015-01-22,39.99574279785156,40.004227633145206,39.10468617846555,39.35927332153996,35898000
2015-01-23,40.03816223144531,40.216372857943526,39.71568354736503,40.19091512194385,26211600
2015-01-26,39.89389419555664,39.995731614111214,39.24045523137454,39.88540936263555,42525500
2015-01-27,36.20235824584961,36.660616723743004,35.73561493862435,36.4484603807089,169164000
2015-01-28,34.954891204833984,36.31269425891968,34.92943346990898,36.27026362162797,84507100
2015-01-29,35.650760650634766,35.744109986215605,34.615439601987724,34.73424667009068,63585300
2015-01-30,34.284481048583984,35.28585967660725,34.242047171959896,35.260398703182744,78004900
2015-02-02,35.031272888183594,35.107649341636055,34.14021642273863,34.44572223654847,50352500
2015-02-03,35.302833557128906,35.58288163747965,34.836089993795,35.32829453359303,52082400
2015-02-04,35.506507873535156,35.82049855088351,35.099167828995185,35.591369168845226,41614800
2015-02-05,36.02416229248047,36.18540001311411,35.52347299053892,35.82897876626599,36548200
2015-02-06,35.99022674560547,36.31270551604277,35.76958542093855,36.219356142712144,34616600
2015-02-09,35.94779586791992,36.27027463631871,35.82050068013719,35.845961660044395,31381100
2015-02-10,36.15145492553711,36.29572298349584,35.795033671610106,36.270265247429705,29670700
2015-02-11,35.96477127075195,36.19390068230769,35.82050316543849,36.19390068230769,38262500
2015-02-12,36.56728744506836,36.56728744506836,36.075082905738164,36.20237807618581,33268800
2015-02-13,37.229217529296875,37.229217529296875,36.618209079300314,36.81339264889306,40264900
2015-02-17,37.24630355834961,37.60526130587638,36.91298145813258,37.57962239827828,33695700
2015-02-18,37.20356750488281,37.34886225452151,37.083914922997025,37.28903596357861,27111700
2015-02-19,37.177940368652344,37.20357928423468,36.79334033347048,36.904447734809544,27603400
2015-02-20,37.48561477661133,37.50270847119983,36.99845589185008,37.18648001174585,29721100
2015-02-23,37.73347473144531,37.767658866017044,37.306142076549165,37.348874689980896,32518800
2015-02-24,37.68218994140625,37.86166885638093,37.536895157648814,37.733471028665775,25271700
2015-02-25,37.596702575683594,37.68216774381504,37.43431419183179,37.56251520431614,29759800
2015-02-26,37.656551361083984,37.80184288583777,37.51125657604107,37.59672505556312,28957300
2015-02-27,37.47705078125,37.77618542225439,37.31466564033049,37.71635914611102,33807700
2015-03-02,37.50270080566406,37.76764486690921,37.22065979303615,37.32321867931529,31924000
2015-03-03,36.98990249633789,37.459970884300546,36.827517309770705,37.22921092847027,31748600
2015-03-04,36.801902770996094,36.93010065782205,36.64806269857247,36.759166881763505,25748700
2015-03-05,36.84461212158203,36.955719494866244,36.59675846590514,36.810424735911724,23193500
2015-03-06,36.20362091064453,36.84461985520895,36.02414198863591,36.75060615502655,36248800
2015-03-09,36.62239074707031,36.86169914316372,36.058312026751786,36.058312026751786,32108000
2015-03-10,35.92157745361328,36.5027500527161,35.92157745361328,36.195070057862964,39159700
2015-03-11,35.87882614135742,36.21214487525483,35.7591735969109,36.160867076370494,32215300
2015-03-12,35.05836486816406,35.59680482591244,34.92161857448228,35.32331223854888,59992500
2015-03-13,35.36604690551758,35.44296690396532,34.707954309973324,34.78487430842107,58007700
2015-03-16,35.51987838745117,35.58824989174278,35.280569971710015,35.44295840744298,35273500
2015-03-17,35.6395378112793,35.75064519492034,35.169472625505605,35.357496743641775,31673400
2015-03-18,36.32326126098633,36.60530226630405,35.323304810033946,35.40877000300337,44194800
2015-03-19,36.143802642822266,36.40020162562136,36.08397632217881,36.11816046233939,33879100
2015-03-20,36.648040771484375,36.7335059782332,36.314721900759864,36.37454819754177,71904500
2015-03-23,36.63093948364258,36.86169940636895,36.562564724188256,36.64803317350616,26246100
2015-03-24,36.66513442993164,36.89589113999116,36.536933359642,36.562572269584464,25513300
2015-03-25,35.43441390991211,36.690772637666605,35.41732021684806,36.68222416099029,43469900
2015-03-26,35.22074890136719,35.56261625434301,34.972895233474155,35.229297378350374,37495600
2015-03-27,35.01564407348633,35.40878939289346,34.895991433691975,35.14384193314174,34401400
2015-03-30,35.007083892822266,35.50279124662001,34.96435128721976,35.12673649262481,35049700
2015-03-31,34.75068283081055,35.06690800488625,34.64812393170546,34.85324172991563,34887200
2015-04-01,34.80195617675781,34.83614029533731,34.451543694086794,34.69939404015564,36865300
2015-04-02,34.4344596862793,34.81905965595221,34.28916491538561,34.75068487899311,37487500
2015-04-06,35.51133728027344,35.70790987879656,34.34044690633619,34.477193203582225,39223700
2015-04-07,35.494239807128906,35.819013451123595,35.306215706111814,35.562614578617705,28809400
2015-04-08,35.40022659301758,35.63098655940065,35.07545620503127,35.434413979212536,24753400
2015-04-09,35.45151138305664,35.571163986974554,35.254938782293074,35.254938782293074,25723900
2015-04-10,35.6566162109375,35.85318872211332,35.39166895137663,35.57969624914805,28022000
2015-04-13,35.69081115722656,35.94721328120267,35.374586000688055,35.383134476974426,30276700
2015-04-14,35.596797943115234,35.921568290133195,35.37458322116802,35.724995734741846,24244400
2015-04-15,36.11814498901367,36.28907865774692,35.62244093600467,35.69081244732484,27343600
2015-04-16,36.03268051147461,36.18652049040821,35.7420942468543,35.853201622814936,22509700
2015-04-17,35.57115173339844,35.67371386738792,35.1780066673022,35.61388432575015,42387600
2015-04-20,36.673683166503906,36.8958946813405,35.62244537421012,35.665177981645364,46057700
2015-04-21,36.442909240722656,36.8787901466622,36.34889558413617,36.750589113082874,26013800
2015-04-22,36.74205780029297,36.861710404750646,36.36600303166717,36.46856194116105,25064300
2015-04-23,37.04118728637695,37.27194726533912,36.57966732845261,36.65658732144,46309500
2015-04-24,40.912803649902344,41.143563540446465,39.01544998368546,39.02399519728152,130933700
2015-04-27,41.04957580566406,41.13504429702198,40.35729895725762,40.36584417624862,59248200
2015-04-28,42.015350341796875,42.058082959137025,40.76753965784199,40.83591119352829,60730800
2015-04-29,41.92987823486328,42.14354454683413,41.451264522344474,41.63929192017136,47804600
2015-04-30,41.57090759277344,42.34010744341384,41.53672020823643,41.62218866957894,64725500
