Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2015-01-02,26.244779586791992,26.554532899502213,26.162011701799678,26.39593746405713,26480000
2015-01-05,25.744714736938477,26.16746641234832,25.659967402967474,26.12583574501147,41182000
2015-01-06,25.109350204467773,25.831445672575708,25.055328646524007,25.796258116180052,54456000
2015-01-07,25.035503387451172,25.349716612643217,24.961163720980398,25.322955391440964,46918000
2015-01-08,25.12273406982422,25.151973850462305,24.533457771680816,24.855106702207085,73054000
2015-01-09,24.81595230102539,25.206490345136892,24.713363513265204,25.185675009581548,42000000
2015-01-12,24.634559631347656,24.79414385487283,24.32976151581034,24.742600854209794,57138000
2015-01-13,24.869476318359375,25.206488103596488,24.64447220299611,24.90763776348392,60958000
2015-01-14,25.074161529541016,25.189638426748395,24.689077839172885,24.801083623360086,52800000
2015-01-15,24.979005813598633,25.263482045234877,24.8798843651474,25.220860710975504,51068000
2015-01-16,25.29867172241211,25.31799916670313,24.933408926318027,24.936382815574586,49658000
2015-01-20,25.272897720336914,25.553906605480144,25.244648610014988,25.41315449636776,46796000
2015-01-21,25.790809631347656,25.86316797295614,25.2555549023526,25.317505576139,46356000
2015-01-22,26.628875732421875,26.705198625022977,25.866140248941647,25.920159917266922,56068000
2015-01-23,26.859333038330078,27.030812830129936,26.55205823643554,26.66505657909706,45966000
2015-01-26,26.600130081176758,26.83702974983726,26.36967352389086,26.83702974983726,30932000
2015-01-27,25.830455780029297,26.40486259510123,25.814100334107508,26.33646881268687,39148000
2015-01-28,25.396303176879883,26.053475930577424,25.392338621727873,26.019279042838015,35822000
2015-01-29,25.43595314025879,25.533091360936414,24.95273681170265,25.419597695590006,79018000
2015-01-30,26.64126968383789,26.91633084114425,25.68128185629702,25.721921863427802,121108000
2015-02-02,26.37611961364746,26.589230083829285,25.856724995545918,26.481186958707738,75378000
2015-02-03,26.43063735961914,26.63631216743334,26.108988420819763,26.26411277765697,47062000
2015-02-04,26.07379722595215,26.60161623215957,26.020766335374578,26.422702674265885,33896000
2015-02-05,26.25865936279297,26.30128069732533,26.050999463764416,26.1644931353982,33176000
2015-02-06,26.459383010864258,26.773596294726563,26.20018196013106,26.317144872178822,42938000
2015-02-09,26.231399536132812,26.459377533620344,26.145659647886607,26.31961608980211,30314000
2015-02-10,26.77061653137207,26.812247196975232,26.22594676581309,26.37363731832233,47430000
2015-02-11,26.6635684967041,26.85933284449532,26.56444704470312,26.749308391985274,38306000
